,date,daily_google_spend,daily_microsoft_spend,daily_meta_spend
0,2024-09-18,103187,13076,28788
1,2024-09-19,105303,19576,64102
2,2024-09-20,104991,20604,73873
3,2024-09-21,98337,12220,27476
4,2024-09-22,113580,13024,36343
5,2024-09-23,121915,14752,80416
6,2024-09-24,155007,15168,78181
7,2024-09-25,166705,13216,80310
8,2024-09-26,150061,11448,114300
9,2024-09-27,148829,13908,99764
10,2024-09-28,140184,25356,74514
11,2024-09-29,144863,15276,83084
12,2024-09-30,144053,20912,46620
13,2024-10-01,118987,14104,7349
14,2024-10-02,121842,29448,13972
15,2024-10-03,135303,25508,13826
16,2024-10-04,111664,20812,13717
17,2024-10-05,118083,19428,14055
18,2024-10-06,144490,21664,14779
19,2024-10-07,124001,28120,14403
20,2024-10-08,145607,16488,16790
21,2024-10-09,134531,17976,19811
22,2024-10-10,182586,18580,21891
23,2024-10-11,164288,13776,30599
24,2024-10-12,151136,6528,34108
25,2024-10-13,194372,9556,40191
26,2024-10-14,126691,10516,39681
27,2024-10-15,118527,11636,49422
28,2024-10-16,107786,7332,54621
29,2024-10-17,108032,9220,61796
30,2024-10-18,110435,10912,63345
